1577	common criteria compliance enabled	0	0	1	0	Common Criteria compliance mode enabled	0	1
1578	EKM provider enabled	0	0	1	0	Enable or disable EKM provider	1	1
1579	backup compression default	0	0	1	0	Enable compression of backups by default	1	0
1580	filestream access level	0	0	2	0	Sets the FILESTREAM access level	1	0
1581	optimize for ad hoc workloads	0	0	1	0	When this option is set, plan cache size is further reduced for single-use adhoc OLTP workload.	1	1
1582	access check cache bucket count	0	0	65536	0	Default hash bucket count for the access check result security cache	1	1
1583	access check cache quota	0	0	2147483647	0	Default quota for the access check result security cache	1	1
1584	backup checksum default	0	0	1	0	Enable checksum of backups by default	1	0
1585	automatic soft-NUMA disabled	0	0	1	0	Automatic soft-NUMA is enabled by default	0	1
1586	external scripts enabled	0	0	1	0	Allows execution of external scripts	0	0
1587	clr strict security	1	0	1	0	CLR strict security enabled in the server	1	1
16384	Agent XPs	0	0	1	0	Enable or disable Agent XPs	1	1
16386	Database Mail XPs	0	0	1	0	Enable or disable Database Mail XPs	1	1
16387	SMO and DMO XPs	1	0	1	1	Enable or disable SMO and DMO XPs	1	1
16388	Ole Automation Procedures	0	0	1	0	Enable or disable Ole Automation Procedures	1	1
16390	xp_cmdshell	0	0	1	0	Enable or disable command shell	1	1
16391	Ad Hoc Distributed Queries	0	0	1	0	Enable or disable Ad Hoc Distributed Queries	1	1
16392	Replication XPs	0	0	1	0	Enable or disable Replication XPs	1	1
16393	contained database authentication	0	0	1	0	Enables contained databases and contained authentication	1	0
16394	hadoop connectivity	0	0	7	0	Configure SQL Server to connect to external Hadoop or Microsoft Azure storage blob data sources through PolyBase	0	0
16395	polybase network encryption	1	0	1	1	Configure SQL Server to encrypt control and data channels when using PolyBase	0	0
16396	remote data archive	0	0	1	0	Allow the use of the REMOTE_DATA_ARCHIVE data access for databases	1	0
16397	allow polybase export	0	0	1	0	Allow INSERT into a Hadoop external table	1	0
